wave,gate,worktree,branch_name,tasks,notes
W0,"Gate A: initial foundation",WT1,codex/w0-be01,BE-01,"Must merge before parallel lanes open"
W0,"Gate A: initial foundation",WT2,,,"Idle"
W0,"Gate A: initial foundation",WT3,,,"Idle"
W0,"Gate A: initial foundation",WT4,,,"Idle"
W0,"Gate A: initial foundation",WT5,,,"Idle"
W1,"Gate B: after BE-01",WT1,codex/w1-be02,BE-02,"CharacterCard schema and validation"
W1,"Gate B: after BE-01",WT2,codex/w1-be03,BE-03,"Discord mention listener"
W1,"Gate B: after BE-01",WT3,codex/w1-be05,BE-05,"QMD adapter with fallback"
W1,"Gate B: after BE-01",WT4,codex/w1-be07,BE-07,"Anthropic client adapter"
W1,"Gate B: after BE-01",WT5,codex/w1-ops01-ops04,"OPS-01|OPS-04","Grouped to keep total concurrent lanes at 5"
W2,"Gate C: after W1 merges",WT1,codex/w2-be04,BE-04,"Recent message collector"
W2,"Gate C: after W1 merges",WT2,codex/w2-be10,BE-10,"Scheduled qmd update/embed"
W2,"Gate C: after W1 merges",WT3,codex/w2-qa01,QA-01,"CharacterCard unit tests"
W2,"Gate C: after W1 merges",WT4,codex/w2-qa02,QA-02,"QMD adapter unit tests"
W2,"Gate C: after W1 merges",WT5,codex/w2-ops02,OPS-02,"Agent directory bootstrap"
W3,"Gate D: after BE-02 BE-04 BE-05",WT1,codex/w3-be06,BE-06,"Prompt builder and token budget"
W3,"Gate D: after BE-02 BE-04 BE-05",WT2,,,"Idle"
W3,"Gate D: after BE-02 BE-04 BE-05",WT3,,,"Idle"
W3,"Gate D: after BE-02 BE-04 BE-05",WT4,,,"Idle"
W3,"Gate D: after BE-02 BE-04 BE-05",WT5,,,"Idle"
W4,"Gate E: after BE-06",WT1,codex/w4-be08,BE-08,"End-to-end response pipeline"
W4,"Gate E: after BE-06",WT2,codex/w4-fe04,FE-04,"Skill excerpt rendering"
W4,"Gate E: after BE-06",WT3,codex/w4-qa03,QA-03,"Prompt budgeting unit tests"
W4,"Gate E: after BE-06",WT4,,,"Idle"
W4,"Gate E: after BE-06",WT5,,,"Idle"
W5,"Gate F: after BE-08",WT1,codex/w5-be09,BE-09,"Async memory extraction"
W5,"Gate F: after BE-08",WT2,codex/w5-ops03,OPS-03,"Runtime packaging"
W5,"Gate F: after BE-08",WT3,codex/w5-ops05,OPS-05,"Observability baseline"
W5,"Gate F: after BE-08",WT4,codex/w5-qa04,QA-04,"Mention-to-reply integration"
W5,"Gate F: after BE-08",WT5,codex/w5-fe01,FE-01,"Reply formatting templates"
W6,"Gate G: after BE-09 (+ BE-02 already done)",WT1,codex/w6-be11,BE-11,"Hot-swap NPC identity"
W6,"Gate G: after BE-09 (+ BE-02 already done)",WT2,codex/w6-qa05,QA-05,"Memory failure resilience test"
W6,"Gate G: after BE-09 (+ BE-02 already done)",WT3,,,"Idle"
W6,"Gate G: after BE-09 (+ BE-02 already done)",WT4,,,"Idle"
W6,"Gate G: after BE-09 (+ BE-02 already done)",WT5,,,"Idle"
W7,"Gate H: after BE-11",WT1,codex/w7-fe02,FE-02,"Slash command UX"
W7,"Gate H: after BE-11",WT2,codex/w7-qa06,QA-06,"Hot-swap integration test"
W7,"Gate H: after BE-11",WT3,,,"Idle"
W7,"Gate H: after BE-11",WT4,,,"Idle"
W7,"Gate H: after BE-11",WT5,,,"Idle"
W8,"Gate I: after FE-02",WT1,codex/w8-fe03,FE-03,"Command validation and errors"
W8,"Gate I: after FE-02",WT2,,,"Idle"
W8,"Gate I: after FE-02",WT3,,,"Idle"
W8,"Gate I: after FE-02",WT4,,,"Idle"
W8,"Gate I: after FE-02",WT5,,,"Idle"
